country;project_name;capture_location;capture_type;planned_capture_rate_kt;planned_capture_efficiency__;emission_type;project_type;project_status;start_date;end_date;trl;data_source;eigl_text_lon;eigl_text_lat;objectid;x;y
Poland;Borzecin ;Borzecin reservoir;Natural Gas Separation;;;Sour gas;Commercial CCS Facility;Operational;1996;;9;http://www.cgseurope.net/UserFiles/file/1st%20Kickoff%20meeting/Presentations/25-Lubas.pdf;16.837000999999997;51.471858;28;1874286.377799999;6705188.219300002
Spain;ECCO2;LafargeHolcim’s cement plant, Carboneras;Amine solvent;50;10;Industrial (Cement);Pilot & Demonstration Facility;Advanced Development;2023;;8;https://www.carbonclean.com/media-center/news/lafargeholcim-and-carbon-clean-to-develop-large-scale-ccus-plant;-1.901914923;36.96687227999998;29;-211720.20080000162;4434490.2157000005
Sweden;PREEM-CCS;PREEM Refineries, Lysekil or Gothenburg;Amine solvent;;90;Industrial (Refinery);Pilot & Demonstration Facility;Operational;2019;2022;7;https://www.sintef.no/en/projects/2019/preem-ccs/;11.41826059;58.348220940000004;30;1271074.954599999;8040826.398199998
Sweden;Stockholm Exergi Bio-CCS;CHP plant in Värta;;800;;BECCS;Pilot & Demonstration Facility;Operational;2019;;8;https://www.stockholmexergi.se/om-stockholm-exergi/about-stockholm-exergi/negative-emissions/bio-ccs/;18.102114209999996;59.35292543999999;31;2015118.1361000016;8257061.792599998
Switzerland;Climeworks;Hinwil, Zurich;DAC;0.9;;DAC;Pilot & Demonstration Facility;Operational;2017;;8;https://climeworks.com/news/climeworks-builds-first-commercial-scale-direct-air-capture-plant;8.844140251999999;47.29957692;32;984525.1893999986;5991110.476599999
UK;Caledonia Clean energy CCS;Summit Power Plant in Scotland;;;;Power;Pilot & Demonstration Facility;Early Development;2023;;;http://www.summitpower.com/projects/carbon-capture/;-3.6829769999999997;56.026257999999984;33;-409987.12420000136;7563644.658
UK;St Fergus (Acorn CCS);St Fergus Gas Terminal;Amine solvent;300;90;Industrial (Refinery);Commercial CCS Facility;Early Development;2025;;8;https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study;-1.838555714;57.57057395000001;34;-204667.08590000123;7877644.410099998
UK;H21 Leeds City Gate;Teesside;;;;Hydrogen Production;Feasability Study;Early Development;;;8;https://h21.green/projects/h21-leeds-city-gate/;-1.1816830329999999;54.58544302999999;35;-131544.35350000113;7281821.2129999995
UK;Teesside- NZT Power Station;Planned new CCGT plant, Redcar;Amine solvent;2000;;Power;Feasability Study;Early Development;2026;;9;https://www.netzeroteesside.co.uk/project/;-1.1252826060000003;54.61916150999998;36;-125265.88670000061;7288301.203500003
UK;Teesside cluster;BOC, CF Fertiliser, Kellas, NP, Suez, TV ERF, 8 Rivers;;10000;;Various;Feasability Study;Early Development;Mid 2020s;;9;http://www.teessidecollective.co.uk/;-1.3062049999999998;54.565195;37;-145406.07550000027;7277932.5396
UK;Zero Carbon Humber;Equinor, SSE, Drax, Uniper;;17000;;Natural gas & biomass;Feasability Study;Early Development;Mid 2020s;;9;https://www.zerocarbonhumber.co.uk/;-0.244046565;53.74015696999999;38;-27167.139299999923;7121097.920299999
UK;HyNet Project - Tata Chemicals Norwich;CHP Plant, winnington Works;;25000;;Industry;Feasability Study;Early Development;Mid 2020s;;9;http://nora.nerc.ac.uk/id/eprint/11300/1/CR05127N.pdf;-2.845083646;53.280298329999994;39;-316713.2626999989;7035014.764700003
UK;Humber Zero Carbon Cluster;VPI Immingham, Philipps 66 Humber Refinery, Uniper Killingholme Power Station, Hornsea offshore windfarm;;8000;;Various;Feasability Study;Early Development;Mid 2020s;;9;https://www.humberzero.co.uk/;-0.23486755099999998;53.64153603;40;-26145.336199998856;7102557.704300001
UK;DRAX BECCS;Drax Power Station, Selby;Amine solvent;0.1;;Biomass;Pilot & Demonstration Facility;Operational;2020;;8;https://www.drax.com/about-us/our-projects/bioenergy-carbon-capture-use-and-storage-beccs/;-1.000275;53.735811999999996;41;-111350.1037000008;7120280.173500001
UK;Peterhead Power Station;Planned new CCGT power plant;Amine solvent;1500;;Power;Commercial CCS Facility;Early Development;2026;;8;https://www.ssethermal.com/flexible-generation/development/peterhead-carbon-capture/;-1.790994;57.47884599999999;42;-199372.5401000008;7858627.0254999995
Denmark;Esberg Pilot Plant;DONG Energy's coal power plant;Amine solvent;;;Power;Pilot & Demonstration Facility;Ended;2006;2012;;http://www.co2cesar.eu/;8.454499;55.45425500000001;43;941150.5236000009;7450531.597000003
Denmark;Nordjyllandsvaerket;Nordjylland Power Station;;1800;;Power;Pilot & Demonstration Facility;Ended;2008;2009;;http://www.zeroco2.no/projects/nordjylland-power-station;10.04248508;57.07243737;44;1117924.3253999986;7774938.677000001
France;ULCOS Florange;ArcelorMittal Florange;;;;Industry (Steel);Pilot & Demonstration Facility;Ended;;;;https://sequestration.mit.edu/tools/projects/ulcos.html;6.143977559999999;49.32637788;45;683944.4534000009;6330423.438900001
France;C2A2 Pilot;Le Havre power plant;;;;Power;Pilot & Demonstration Facility;Ended;2010;2014;;http://www.zeroco2.no/projects/le-havre-c2a2;0.14866;49.475459999999984;46;16548.75549999997;6355925.484399997
France;Lacq CCS Pilot;Total gas power plant at Lacq;Oxyfuel;12;;Power;Pilot & Demonstration Facility;Ended;2009;2013;;https://www.globalccsinstitute.com/news-media/insights/total-publishes-lacq-ccs-pilot-report/;-0.6183236469999999;43.411252919999995;47;-68831.47349999845;5374779.707199998
Germany;H2morrow;Thyssenkrupp's Steel, Duisburg;;;;Industry (Steel);Feasability Study;Ended;;;;https://oge.net/en/us/projects/our-hydrogen-projects/h2morrow;6.730677;51.488872999999984;48;749255.5362999998;6708229.570500001
Germany;Staudinger Pilot Plant ;Siemens in Grosskrtzenburg;Amine;;;Power;Pilot & Demonstration Facility;Ended;;;;https://www.reuters.com/article/us-eon-siemens-carbon-idUSTRE51I48P20090219;8.951533999999999;50.08859;49;996480.2067000009;6461632.227300003
Germany;Ketzin;Hydrogen Production at Schwarze Pumpe;Oxyfuel;13;;Hydrogen Production;Pilot & Demonstration Facility;Ended;2008;2013;;http://www.co2ketzin.de/nc/en/home.html;12.832091239999999;52.483823279999996;50;1428461.8625999987;6888084.156400003
Italy;Cleankerk;Heidelbergcement, Bucci Unicem;Calcium Lopping;;;Industrial;Pilot & Demonstration Facility;Ended;2017;2021;;http://www.cleanker.eu/the-project/project-contents;9.830487349;44.799691549999984;51;1094324.8458999991;5590041.951099999
Italy;Porto Tolle;Porto Tolle power station ;Amine;1000;90;Power;Pilot & Demonstration Facility;Ended;2010;2013;;https://www.globalccsinstitute.com/archive/hub/publications/166523/zero-emission-porto-tolle-zept-project-results.pdf;12.488683;44.95782899999999;52;1390233.8321999982;5614884.966700003
Italy;Enel CO2 Post-Combustion Capture Project;Brindisi Coal Fired Power Plant;Amine;7;;Power;Pilot & Demonstration Facility;Ended;2010;2012;;https://www.globalccsinstitute.com/archive/hub/publications/77416/enel-co2-post-combustion-capture-project-brindisi-pilot-plant.pdf;18.03180417;40.565459479999994;53;2007291.258299999;4948456.7848000005
Netherlands;ROAD;Maasvlakte Power Plant;Amine;1100;;Power;Pilot & Demonstration Facility;Ended;;;;ROAD Close-Out Report on Capture & Compression (globalccsinstitute.com);4.02223;51.96293899999999;54;447752.5954999998;6793427.122199997
Netherlands;Nuon Magnum;Buggenum Pilot Plant, Eemshaven;Pre-combustion;3000;;Power;Pilot & Demonstration Facility;Ended;;;;http://sequestration.mit.edu/tools/projects/nuon_magnum.html;6.850304999999999;53.451516;55;762572.4644000009;7066956.808700003
Netherlands;Everest;Tata Steel, Ijmuiden;Amine;4000;;Industry (Steel);Pilot & Demonstration Facility;Ended;;;;https://www.co2-cato.org/cato-download/5541/20181213_122245_15_2018.12.04_CATO-meets-the-projects_Zutphen-pu;4.597795243;52.48383369999999;56;511824.22520000115;6888086.061099999
Norway;Porsgrunn;Yara Porsgrunn Demonstration Project;Pre-combustion;210;96;Industry (Ammonia);Commercial CCS Facility;Ended;1998;2017;;https://www.apply.no/references/yara-carbon-capture-project;9.626171;59.125904;57;1071580.454;8207649.475599997
Romania;Getica;Turceni Power plant, Gorj County;Amine;1500;;Power;Feasibility Study;Ended;;;;https://kiev.mae.ro/en/romania-news/761;23.401908739999996;44.66546040999999;58;2605088.5645000003;5569007.936399996
Spain;OXYCFB300;ENDESA’s Cubillos del Sil Development Plant;Oxyfuel;;;Power;Pilot & Demonstration Facility;Ended;2009;2012;;https://www.globalccsinstitute.com/archive/hub/publications/137158/Compostilla-project-OXYCFB300-carbon-capture-storage-demonstration-project-knowledge-sharing-FEED-report.pdf;-6.566539531;42.60849045;59;-730983.8368999995;5252568.697800003
Sweden;Stepwise Pilot Plant;SSAB blast furnace at Luea;Solid Adsorption;;;Industry (Steel);Pilot & Demonstration Facility;Ended;;;;https://www.stepwise.eu/project/;22.202263000000002;65.56780099999999;60;2471544.6116000004;9759547.404700004
